raceId,driverId,pit_duration,finish_position
1062,852,21.819,6
933,828,16.211,13
938,815,24.281,6
1012,842,22.301,6
852,816,22.114,17
1026,826,23.293,10
1047,849,21.357,17
1012,825,23.383,13
1039,815,17.531,5
931,1,24.181,3
1082,844,26.199,5
875,13,20.607,4
871,13,20.306,5
1110,830,22.887,1
1035,840,27.974,6
887,815,24.596,20
842,22,24.502,22
890,1,21.454,1
926,815,26.009,10
912,16,26.864,15
956,822,17.8,9
1087,848,23.334,10
872,39,31.745,19
966,4,22.461,13
963,18,24.645,9
1018,846,21.547,6
1092,847,28.728,8
1060,817,21.151,7
852,20,20.786,1
1053,846,30.654,3
890,154,16.453,6
869,37,19.85,21
1100,847,19.146,18
894,20,22.662,1
859,1,20.396,22
1080,849,26.91,15
1117,842,22.627,11
893,821,29.364,12
849,1,23.34,4
877,817,20.122,10
932,832,24.277,12
1123,840,17.901,6
970,822,17.323,6
985,828,25.841,15
1116,817,23.963,15
866,808,21.403,19
1058,822,21.752,3
1029,825,23.479,11
1071,853,17.995,17
917,817,22.871,18
869,818,18.425,14
1099,807,21.567,12
995,825,24.008,13
845,1,19.761,2
1017,807,30.884,8
1000,845,21.509,16
1075,822,22.561,15
841,16,23.871,9
872,807,22.746,21
1144,832,21.28,2
1024,848,28.606,6
855,17,21.369,4
983,817,24.199,3
1114,839,23.789,9
1011,841,24.88,11
982,815,25.288,5
1139,857,24.107,5
857,3,21.149,6
857,808,22.519,11
869,817,17.99,13
1112,842,24.686,15
956,835,16.851,12
1060,4,22.663,10
1029,8,23.463,4
981,825,24.384,11
1136,817,30.317,13
1010,8,23.299,8
1073,4,21.304,8
1086,855,22.321,13
1001,843,18.084,14
982,822,25.367,3
1069,830,23.727,1
1096,854,22.276,16
1002,20,24.301,4
864,814,19.867,14
881,824,22.017,13
855,16,21.337,11
1037,815,23.175,10
987,20,17.817,1
928,822,23.084,6
954,825,23.162,16
848,816,21.943,22
969,13,21.568,6
1092,830,24.308,1
1101,840,23.161,7
1102,857,22.205,19
1060,822,21.071,2
1104,842,23.902,7
1099,855,21.282,13
958,835,21.665,12
841,153,24.463,11
968,830,21.221,4
844,153,21.826,16
997,815,22.863,7
1046,822,24.552,8
918,829,23.545,17
1077,855,32.203,15
851,817,21.651,18
934,3,28.393,2
965,18,23.613,9
1081,846,21.443,9
993,815,22.242,9
907,807,21.92,9
1078,817,19.28,13
944,8,23.293,4
1006,1,23.693,3
1114,844,22.926,4
894,814,23.814,22
956,825,17.721,14
1009,817,21.061,4
934,817,28.464,15
842,3,22.526,12
1007,840,23.371,12
1037,20,22.982,13
1123,855,19.032,15
880,4,21.606,2
1000,1,21.48,1
1043,154,30.422,14
1105,822,23.691,19
986,154,23.035,15
1023,9,23.86,17
874,17,20.691,9
914,820,25.278,18
915,1,30.503,1
993,843,22.472,12
1073,846,21.38,7
1125,839,23.156,11
878,815,22.079,11
856,10,22.481,18
927,154,24.377,11
1072,822,21.668,3
1012,846,22.524,18
998,828,28.207,18
961,1,23.633,2
892,8,24.764,11
1142,842,22.179,20
1093,842,23.67,14
1137,817,21.984,13
898,823,25.268,19
943,813,23.937,11
936,833,18.085,15
876,18,21.509,5
1031,815,16.546,6
952,835,22.397,13
983,830,23.652,1
1022,846,23.182,11
966,822,22.396,8
1023,825,24.4,18
940,815,24.267,12
844,155,21.82,10
893,820,29.687,17
1010,847,21.543,16
855,3,20.575,10
1070,847,21.984,16
1125,847,22.415,6
1139,859,23.839,9
1133,825,21.871,15
1007,807,23.037,6
879,8,21.541,10
1003,830,29.681,2
1007,822,22.105,5
1089,854,24.817,12
1010,840,22.471,9
943,1,22.304,2
989,8,21.421,3
1110,852,22.61,10
863,811,22.31,22
1060,840,21.391,13
1062,847,22.186,8
987,840,17.925,16
865,20,25.079,4
893,822,30.79,13
911,4,22.974,7
908,817,28.483,3
1069,1,23.676,2
879,18,21.456,1
975,4,23.526,16
865,3,24.874,2
1034,849,31.371,15
859,4,20.664,4
910,824,22.892,15
926,3,22.105,2
861,17,23.195,4
1025,846,29.29,8
1014,822,22.018,2
1043,846,29.683,8
1084,844,21.319,1
1016,815,24.076,12
852,18,21.64,3
928,20,22.444,3
842,16,22.046,11
1025,840,30.168,11
932,831,24.795,16
895,818,24.087,12
1086,830,21.228,1
1025,9,30.177,16
1034,844,29.52,3
967,4,24.821,10
1142,861,21.17,14
953,826,19.918,20
867,18,19.64,8
860,819,17.088,15
909,822,20.115,2
1069,20,23.849,10
892,813,25.397,14
1032,8,21.459,11
915,154,30.037,17
864,154,20.223,4
1115,822,28.946,8
988,20,21.221,3
1096,822,22.573,15
